"","Rented.Bike.Count","Hour","Temperature..C.","Humidity...","Wind.speed..m.s.","Visibility..10m.","Dew.point.temperature..C.","Solar.Radiation..MJ.m2.","Rainfall.mm.","Snowfall..cm.","Seasons","Holiday","Functioning.Day"
"27",262,2,-2.9,86,1.5,1256,-4.9,0,0,0,"4","0","1"
"28",167,3,-3.5,81,2.2,1221,-6.2,0,0,0,"4","0","1"
"29",89,4,-3.8,79,2,1167,-6.9,0,0,0,"4","0","1"
"30",79,5,-4,79,1.5,1202,-7.1,0,0,0,"4","0","1"
"31",70,6,-4.3,82,2.1,1178,-6.9,0,0,0,"4","0","1"
"32",146,7,-4.4,81,2.5,1276,-7.1,0,0,0,"4","0","1"
"33",219,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,"4","0","1"
"34",328,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,"4","0","1"
"35",334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,"4","0","1"
"36",388,11,1.9,49,1.8,1406,-7.7,1,0,0,"4","0","1"
"37",479,12,4.3,41,1.3,1666,-7.8,1.09,0,0,"4","0","1"
"38",606,13,6,36,1.8,1780,-7.9,1.12,0,0,"4","0","1"
"39",611,14,7.3,35,1.3,1955,-7.1,0.99,0,0,"4","0","1"
"40",589,15,7.6,41,2.3,1953,-4.8,0.74,0,0,"4","0","1"
"41",618,16,6.4,48,2.6,1945,-3.8,0.22,0,0,"4","0","1"
"42",572,17,6,51,2.5,1891,-3.3,0.06,0,0,"4","0","1"
"43",489,18,5.5,53,1.5,1697,-3.3,0,0,0,"4","0","1"
"44",385,19,5,52,2.3,1666,-4,0,0,0,"4","0","1"
"45",359,20,4.6,51,1.2,1585,-4.6,0,0,0,"4","0","1"
"46",377,21,4.1,55,1.2,1448,-4.1,0,0,0,"4","0","1"
"47",354,22,3.5,54,1.5,1446,-4.9,0,0,0,"4","0","1"
"48",366,23,4,56,1,1352,-4,0,0,0,"4","0","1"
"49",342,0,4,58,1.4,1296,-3.5,0,0,0,"4","0","1"
"50",227,1,3.9,69,1.7,485,-1.2,0,0,0,"4","0","1"
"51",228,2,3.3,79,1.4,830,0,0,0,0,"4","0","1"
"52",117,3,3.4,71,1.6,1011,-1.3,0,0.5,0,"4","0","1"
"53",76,4,3.5,73,1,1060,-0.8,0,0,0,"4","0","1"
"54",32,5,3.9,75,1.9,914,-0.1,0,0,0,"4","0","1"
"55",13,6,3.4,86,2.5,278,1.2,0,1,0,"4","0","1"
"56",22,7,3.1,91,1.2,129,1.7,0,0,0,"4","0","1"
"57",85,8,3.2,92,1.8,244,2,0,0,0,"4","0","1"
"58",152,9,3.5,91,1.8,231,2.1,0.02,2.5,0,"4","0","1"
"59",200,10,4.4,89,2.2,257,2.7,0.24,0,0,"4","0","1"
"60",273,11,5.1,87,1.4,321,3.1,0.25,0,0,"4","0","1"
"61",333,12,5.8,85,1.7,349,3.4,0.43,0,0,"4","0","1"
"62",495,13,6.8,81,1.9,390,3.7,0.6,0,0,"4","0","1"
"63",563,14,7.6,76,1.2,422,3.6,0.69,0,0,"4","0","1"
"64",621,15,8,73,1.6,433,3.4,0.53,0,0,"4","0","1"
"65",598,16,7.6,77,1.6,399,3.8,0.2,0,0,"4","0","1"
"66",545,17,6.7,82,1.5,358,3.8,0.05,0,0,"4","0","1"
"67",443,18,6,84,1.9,327,3.4,0,0,0,"4","0","1"
"68",422,19,5.7,85,1.7,309,3.3,0,0,0,"4","0","1"
"69",397,20,5.2,87,1.4,253,3.2,0,0,0,"4","0","1"
"70",385,21,4.7,87,1.2,247,2.7,0,0,0,"4","0","1"
"71",350,22,4.3,89,1.8,201,2.6,0,0,0,"4","0","1"
"72",303,23,3.9,90,1.3,194,2.4,0,0,0,"4","0","1"
"73",285,0,4.2,88,0.6,216,2.3,0,0,0,"4","0","1"
"74",186,1,4.3,87,0.5,221,2.3,0,0,0,"4","0","1"
"75",112,2,4.4,87,1.8,207,2.4,0,0,0,"4","0","1"
"76",65,3,3.6,85,2.3,206,1.3,0,0,0,"4","0","1"
"77",41,4,2.8,89,1.5,130,1.1,0,0,0,"4","0","1"
"78",82,5,2,83,2.7,253,-0.5,0,0,0,"4","0","1"
"79",200,6,1.2,76,3.7,371,-2.5,0,0.1,0,"4","0","1"
"80",498,7,0.2,68,3.4,702,-5,0,0,0,"4","0","1"
"81",937,8,-0.8,69,3.5,954,-5.7,0.01,0,0,"4","0","1"
"82",509,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,"4","0","1"
"83",311,10,-1.1,40,4.5,2000,-13,0.64,0,0,"4","0","1"
"84",379,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,"4","0","1"
"85",393,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,"4","0","1"
"87",338,14,0.1,27,4.5,2000,-16.7,1.09,0,0,"4","0","1"
"89",375,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,"4","0","1"
"91",807,18,-2.1,29,3.9,2000,-17.7,0,0,0,"4","0","1"
"92",568,19,-2.9,32,3.2,2000,-17.3,0,0,0,"4","0","1"
"93",398,20,-3.6,38,3,2000,-15.8,0,0,0,"4","0","1"
"94",397,21,-4.6,43,4.5,2000,-15.3,0,0,0,"4","0","1"
"95",353,22,-5.3,45,2.5,2000,-15.3,0,0,0,"4","0","1"
"96",248,23,-5.8,44,2.4,2000,-16.1,0,0,0,"4","0","1"
"97",216,0,-6.1,42,2.6,2000,-16.9,0,0,0,"4","0","1"
"98",198,1,-6.5,41,2.8,2000,-17.6,0,0,0,"4","0","1"
"99",124,2,-6.8,41,2.5,2000,-17.8,0,0,0,"4","0","1"
"100",62,3,-6.9,39,2,2000,-18.5,0,0,0,"4","0","1"
"101",42,4,-7.2,34,3,2000,-20.4,0,0,0,"4","0","1"
"102",82,5,-7.4,33,2.6,2000,-20.9,0,0,0,"4","0","1"
"103",172,6,-7.4,34,3.2,2000,-20.6,0,0,0,"4","0","1"
"104",381,7,-7.5,33,2.2,2000,-21,0,0,0,"4","0","1"
"105",812,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,"4","0","1"
"106",462,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,"4","0","1"
"107",269,10,-5.5,26,2.8,1967,-22,0.64,0,0,"4","0","1"
"108",334,11,-3.9,25,0,1959,-21,0,0,0,"4","0","1"
"109",321,12,-2.3,25,0,1962,-19.7,0,0,0,"4","0","1"
"110",325,13,-1.6,27,0,1955,-18.2,0,0,0,"4","0","1"
"111",334,14,-1.1,28,0,2000,-17.3,0,0,0,"4","0","1"
"112",353,15,-0.7,28,0,2000,-16.9,0,0,0,"4","0","1"
"113",435,16,-0.5,30,0,2000,-16,0,0,0,"4","0","1"
"114",529,17,-1.6,35,0,2000,-15.1,0,0,0,"4","0","1"
"115",789,18,-2.6,40,0,2000,-14.4,0,0,0,"4","0","1"
"116",597,19,-3.2,45,0,2000,-13.5,0,0,0,"4","0","1"
"117",418,20,-3.5,46,0,2000,-13.4,0,0,0,"4","0","1"
"118",415,21,-3.7,47,0,2000,-13.3,0,0,0,"4","0","1"
"119",393,22,-2.8,49,0,2000,-12,0,0,0,"4","0","1"
"120",244,23,-2.5,59,0,1210,-9.4,0,0,0,"4","0","1"
"121",145,0,-2.8,77,0,331,-6.2,0,0.1,0.1,"4","0","1"
"122",144,1,-3,79,0,293,-6.1,0,0,0.3,"4","0","1"
"123",117,2,-3,79,0,1862,-6.1,0,0,0.4,"4","0","1"
"124",78,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,"4","0","1"
"125",58,4,-3.4,75,0,1982,-7.2,0,0,0.4,"4","0","1"
"126",87,5,-3.6,76,0,1934,-7.2,0,0,0.4,"4","0","1"
"127",142,6,-3.7,76,0,1864,-7.3,0,0,0.4,"4","0","1"
"128",379,7,-4.2,77,0,1741,-7.6,0,0,0.3,"4","0","1"
"129",802,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,"4","0","1"
"130",440,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,"4","0","1"
"131",307,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,"4","0","1"
"132",381,11,1.6,57,1.2,1261,-6,0.93,0,0,"4","0","1"
"133",405,12,2.4,52,0.9,1224,-6.4,1.08,0,0,"4","0","1"
"134",442,13,4.2,47,1.1,1469,-6.1,1.1,0,0,"4","0","1"
"135",416,14,5.5,34,1,1966,-9.1,0.96,0,0,"4","0","1"
"136",412,15,5.5,31,3.1,1968,-10.3,0.72,0,0,"4","0","1"
"137",496,16,5.3,37,2.9,2000,-8.2,0.36,0,0,"4","0","1"
"138",239,17,4.1,60,2.5,1565,-2.9,0.1,0,0,"4","0","1"
"139",204,18,1.7,90,1,66,0.2,0,0.3,0.3,"4","0","1"
"140",205,19,1.2,92,0.7,180,0,0,0,1,"4","0","1"
"141",190,20,1.2,94,0.6,228,0.3,0,0,1,"4","0","1"
"142",165,21,1.1,92,0.5,235,0,0,0.7,1,"4","0","1"
"143",222,22,1.3,92,0.6,233,0.1,0,0,1,"4","0","1"
"144",193,23,1.3,92,0.6,209,0.1,0,0,1,"4","0","1"
"145",198,0,1.4,92,0.5,240,0.2,0,0,0.9,"4","0","1"
"146",218,1,1.5,92,0.4,227,0.3,0,0,0.9,"4","0","1"
"147",149,2,1.4,92,0.7,168,0.2,0,0,0.9,"4","0","1"
"148",102,3,1.9,91,1.4,218,0.5,0,0,0.9,"4","0","1"
"149",62,4,1.6,92,0.7,119,0.4,0,0,0.9,"4","0","1"
"150",83,5,1.5,92,1.1,175,0.3,0,0,0.9,"4","0","1"
"151",137,6,1,93,0.5,148,0,0,0,0.9,"4","0","1"
"152",367,7,0.3,93,0.5,173,-0.7,0,0,0.9,"4","0","1"
"153",754,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,"4","0","1"
"154",415,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,"4","0","1"
"155",321,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,"4","0","1"
"156",333,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,"4","0","1"
"157",431,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,"4","0","1"
"158",394,13,4.1,37,3.1,1767,-9.3,1.14,0,0,"4","0","1"
"159",390,14,4.4,36,2.7,1975,-9.4,1.04,0,0,"4","0","1"
"160",430,15,4,35,3.1,1962,-10.1,0.84,0,0,"4","0","1"
"161",471,16,3.2,38,2.9,1817,-9.7,0.51,0,0,"4","0","1"
"162",552,17,2.1,50,2,1434,-7.2,0.15,0,0,"4","0","1"
"163",795,18,0.7,46,2.7,1558,-9.6,0,0,0,"4","0","1"
"164",507,19,-0.4,47,2.5,1269,-10.3,0,0,0,"4","0","1"
"165",390,20,-1.4,47,2.5,1620,-11.2,0,0,0,"4","0","1"
"166",402,21,-2.2,46,2.2,1975,-12.2,0,0,0,"4","0","1"
"167",389,22,-2.7,48,2.6,1844,-12.2,0,0,0,"4","0","1"
"168",259,23,-3.2,50,2.1,1887,-12.1,0,0,0,"4","0","1"
"169",233,0,-3.5,49,2.6,1893,-12.6,0,0,0,"4","0","1"
"170",230,1,-3.7,50,2.5,1902,-12.6,0,0,0,"4","0","1"
"171",131,2,-4.3,53,1,1918,-12.4,0,0,0,"4","0","1"
"172",99,3,-4.8,52,1.6,1978,-13.1,0,0,0,"4","0","1"
"173",71,4,-5.3,53,2.4,1936,-13.4,0,0,0,"4","0","1"
"174",84,5,-5.8,56,2,1941,-13.1,0,0,0,"4","0","1"
"175",158,6,-6,56,3.5,1853,-13.3,0,0,0,"4","0","1"
"176",387,7,-6.5,57,0.8,1776,-13.6,0,0,0,"4","0","1"
"177",780,8,-7,59,0.8,1559,-13.6,0.01,0,0,"4","0","1"
"178",395,9,-6.7,50,0.9,1492,-15.4,0.23,0,0,"4","0","1"
"179",261,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,"4","0","1"
"180",310,11,-3.7,39,1.4,1595,-15.6,0.93,0,0,"4","0","1"
"181",355,12,-2,30,1.4,1728,-17.3,1.14,0,0,"4","0","1"
"182",354,13,-1.7,28,1.8,1963,-17.8,1.22,0,0,"4","0","1"
"183",350,14,-1.3,27,3.1,1906,-17.9,1.12,0,0,"4","0","1"
"184",362,15,-0.8,26,3.3,1977,-17.9,0.87,0,0,"4","0","1"
"185",401,16,-1.1,24,3.4,2000,-19.1,0.56,0,0,"4","0","1"
"186",500,17,-2.4,30,2.7,2000,-17.6,0.18,0,0,"4","0","1"
"187",752,18,-3.1,33,1.2,2000,-17.1,0,0,0,"4","0","1"
"188",477,19,-3.3,35,1.1,2000,-16.6,0,0,0,"4","0","1"
"189",384,20,-3.3,34,1.5,2000,-16.9,0,0,0,"4","0","1"
"190",336,21,-3.3,35,0.5,2000,-16.6,0,0,0,"4","0","1"
"191",347,22,-3.4,39,1.2,2000,-15.4,0,0,0,"4","0","1"
"192",275,23,-3.5,43,0.9,2000,-14.3,0,0,0,"4","0","1"
"193",267,0,-3.5,48,0.9,1967,-12.9,0,0,0,"4","0","1"
"194",296,1,-4.1,49,0.6,2000,-13.2,0,0,0,"4","0","1"
"195",237,2,-4.7,50,0.7,1983,-13.5,0,0,0,"4","0","1"
"196",169,3,-4.3,47,0.6,1992,-13.9,0,0,0,"4","0","1"
"197",96,4,-4.3,49,0.7,2000,-13.4,0,0,0,"4","0","1"
"198",56,5,-4.7,49,0.8,1999,-13.8,0,0,0,"4","0","1"
"199",76,6,-5.1,53,0.9,1975,-13.2,0,0,0,"4","0","1"
"200",127,7,-5.5,56,0.8,1950,-12.9,0,0,0,"4","0","1"
"201",222,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,"4","0","1"
"202",291,9,-4.7,48,1,1784,-14,0.23,0,0,"4","0","1"
"203",273,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,"4","0","1"
"204",351,11,0,45,1.1,1500,-10.5,0.89,0,0,"4","0","1"
"205",427,12,2.4,40,0.8,1809,-9.8,1.05,0,0,"4","0","1"
"206",431,13,3.9,36,2,1702,-9.8,1.13,0,0,"4","0","1"
"207",486,14,4.7,32,2.2,1948,-10.6,1.06,0,0,"4","0","1"
"208",569,15,5.2,30,2,1963,-11,0.84,0,0,"4","0","1"
"209",546,16,4.4,33,1.6,1963,-10.5,0.4,0,0,"4","0","1"
"210",481,17,3.5,37,1.8,1963,-9.8,0.1,0,0,"4","0","1"
"211",384,18,2.5,41,1,1974,-9.4,0,0,0,"4","0","1"
"212",275,19,1.5,48,0.4,1878,-8.3,0,0,0,"4","0","1"
"213",298,20,0.8,51,1.4,1848,-8.2,0,0,0,"4","0","1"
"214",321,21,-0.1,55,0.7,1654,-8,0,0,0,"4","0","1"
"215",289,22,-0.5,55,0.6,1655,-8.4,0,0,0,"4","0","1"
"216",265,23,-0.1,54,1.3,1570,-8.3,0,0,0,"4","0","1"
"217",326,0,-0.2,55,1,1629,-8.1,0,0,0,"4","0","1"
"218",280,1,-0.2,54,0.5,1747,-8.4,0,0,0,"4","0","1"
"219",243,2,0.2,52,0.7,1726,-8.5,0,0,0,"4","0","1"
"220",169,3,0.3,53,0.5,1748,-8.1,0,0,0,"4","0","1"
"221",71,4,0.4,52,1.6,1816,-8.3,0,0,0,"4","0","1"
"222",13,5,0.3,74,1,178,-3.7,0,0,0.7,"4","0","1"
"223",9,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,"4","0","1"
"224",20,7,-0.4,92,1.1,121,-1.5,0,0,4,"4","0","1"
"228",58,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,"4","0","1"
"229",119,12,2.3,88,0.3,245,0.5,0.28,0,3.1,"4","0","1"
"230",182,13,3.3,87,1.1,230,1.3,0.54,0,2.1,"4","0","1"
"231",235,14,4.2,85,0.7,325,1.8,0.65,0,1.4,"4","0","1"
"232",180,15,6.7,63,4.5,715,0.1,0.35,0,1,"4","0","1"
"233",214,16,5.4,71,3.5,622,0.5,0.2,0,0.5,"4","0","1"
"234",226,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4,"4","0","1"
"235",210,18,2,61,3,2000,-4.7,0,0,0,"4","0","1"
"236",181,19,1.6,53,4,2000,-6.9,0,0,0,"4","0","1"
"237",165,20,0.6,57,3.9,1954,-6.9,0,0,0,"4","0","1"
"238",167,21,0,59,3,1862,-7,0,0,0,"4","0","1"
"239",152,22,-1,56,4.7,2000,-8.6,0,0,0,"4","0","1"
"240",148,23,-1.4,43,4.3,2000,-12.3,0,0,0,"4","0","1"
"241",125,0,-2.5,39,3.4,2000,-14.5,0,0,0,"4","0","1"
"242",111,1,-3.4,36,3.8,2000,-16.3,0,0,0,"4","0","1"
"243",67,2,-4.2,35,3.4,2000,-17.4,0,0,0,"4","0","1"
"244",45,3,-4.7,38,2.4,2000,-16.8,0,0,0,"4","0","1"
"245",44,4,-5.2,35,3.2,2000,-18.3,0,0,0,"4","0","1"
"246",86,5,-5.6,38,3.2,1974,-17.6,0,0,0,"4","0","1"
"247",136,6,-5.9,39,2.9,1979,-17.6,0,0,0,"4","0","1"
"248",325,7,-6,39,3.1,1996,-17.7,0,0,0,"4","0","1"
"249",653,8,-6,38,3.6,1994,-18,0.01,0,0,"4","0","1"
"251",212,10,-5.3,32,4.5,2000,-19.4,0.62,0,0,"4","0","1"
"252",226,11,-4.7,36,3.8,2000,-17.5,1,0,0,"4","0","1"
"253",247,12,-5.2,33,4.6,1973,-19,1.26,0,0,"4","0","1"
"255",253,14,-5.4,31,4.1,1945,-19.9,1.13,0,0,"4","0","1"
"256",269,15,-5.5,33,4.5,2000,-19.2,0.92,0,0,"4","0","1"
"257",277,16,-6,40,4,2000,-17.4,0.55,0,0,"4","0","1"
"258",361,17,-7.1,44,4.2,2000,-17.3,0.18,0,0,"4","0","1"
"259",557,18,-7.9,43,3.3,2000,-18.3,0,0,0,"4","0","1"
"260",371,19,-8.6,45,3.9,2000,-18.4,0,0,0,"4","0","1"
"261",254,20,-9.3,49,3.8,2000,-18,0,0,0,"4","0","1"
"262",266,21,-9.7,51,2.5,2000,-17.9,0,0,0,"4","0","1"
"263",222,22,-10.2,50,3,2000,-18.6,0,0,0,"4","0","1"
"264",174,23,-10.7,53,1.2,2000,-18.4,0,0,0,"4","0","1"
"265",133,0,-11,51,1.1,2000,-19.1,0,0,0,"4","0","1"
"266",127,1,-11.2,51,1.1,2000,-19.3,0,0,0,"4","0","1"
"267",95,2,-11.5,50,0.7,2000,-19.8,0,0,0,"4","0","1"
"268",54,3,-11.6,50,2.2,1995,-19.9,0,0,0,"4","0","1"
"269",46,4,-11.6,47,2.1,1982,-20.6,0,0,0,"4","0","1"
"270",65,5,-11.6,45,2.8,1951,-21.1,0,0,0,"4","0","1"
"271",104,6,-11.8,47,2.5,1973,-20.8,0,0,0,"4","0","1"
"272",280,7,-12.1,50,2.3,1929,-20.4,0,0,0,"4","0","1"
"273",580,8,-12.3,52,1.3,1914,-20.1,0,0,0,"4","0","1"
"274",275,9,-11.8,46,2.9,1956,-21.1,0.1,0,0,"4","0","1"
"275",184,10,-10.5,45,3.3,1855,-20.1,0.6,0,0,"4","0","1"
"276",201,11,-9.4,42,3.1,1815,-19.9,0.93,0,0,"4","0","1"
"277",228,12,-8.3,35,2.9,1967,-21,1.14,0,0,"4","0","1"
"278",225,13,-6.9,37,2.4,1955,-19.1,1.22,0,0,"4","0","1"
"279",258,14,-5.4,32,2,1930,-19.5,1.12,0,0,"4","0","1"
"280",250,15,-5.8,30,2.8,2000,-20.6,0.92,0,0,"4","0","1"
"281",248,16,-6,29,2.8,1983,-21.2,0.58,0,0,"4","0","1"
"282",305,17,-7,32,2.6,2000,-20.9,0.19,0,0,"4","0","1"
"283",529,18,-7.7,36,1,2000,-20.2,0,0,0,"4","0","1"
"284",350,19,-8.2,43,1.1,2000,-18.5,0,0,0,"4","0","1"
"285",260,20,-8.4,42,1,2000,-19,0,0,0,"4","0","1"
"286",270,21,-8.8,43,1.4,1999,-19.1,0,0,0,"4","0","1"
"287",256,22,-9,45,1.3,1999,-18.7,0,0,0,"4","0","1"
"288",173,23,-9.3,47,2.1,2000,-18.5,0,0,0,"4","0","1"
"289",168,0,-9.5,48,1.3,1996,-18.4,0,0,0,"4","0","1"
"290",183,1,-10.2,52,1.6,1997,-18.2,0,0,0,"4","0","1"
"291",120,2,-10.4,53,1.8,1949,-18.1,0,0,0,"4","0","1"
"292",79,3,-10.9,55,1.8,1913,-18.1,0,0,0,"4","0","1"
"293",41,4,-11.4,58,1.3,1907,-18,0,0,0,"4","0","1"
"294",68,5,-11.5,58,1.1,1923,-18.1,0,0,0,"4","0","1"
"295",109,6,-11.9,57,1.1,1974,-18.7,0,0,0,"4","0","1"
"296",310,7,-11.7,53,1.6,1998,-19.3,0,0,0,"4","0","1"
"297",591,8,-11.4,47,3.3,2000,-20.4,0,0,0,"4","0","1"
"298",340,9,-11.1,46,3.4,1981,-20.4,0.1,0,0,"4","0","1"
"299",202,10,-9.5,39,2.1,1875,-20.9,0.6,0,0,"4","0","1"
"300",251,11,-8.1,35,1.8,1806,-20.9,0.96,0,0,"4","0","1"
"301",267,12,-6.5,30,2.9,1945,-21.2,1.17,0,0,"4","0","1"
"302",251,13,-5.8,28,2.9,1887,-21.4,1.23,0,0,"4","0","1"
"303",240,14,-4.7,27,2.9,1883,-20.8,1.12,0,0,"4","0","1"
"304",240,15,-4.9,26,3.1,1887,-21.5,0.89,0,0,"4","0","1"
"305",278,16,-4.5,26,2.2,2000,-21.1,0.56,0,0,"4","0","1"
"306",392,17,-5.6,29,1.7,2000,-20.8,0.18,0,0,"4","0","1"
"307",537,18,-6.6,33,1.1,2000,-20.2,0,0,0,"4","0","1"
"308",373,19,-6.6,31,1.6,2000,-20.9,0,0,0,"4","0","1"
"309",263,20,-7.6,35,0.8,2000,-20.4,0,0,0,"4","0","1"
"310",271,21,-8.3,39,1,2000,-19.8,0,0,0,"4","0","1"
"311",271,22,-8.9,39,0.1,2000,-20.3,0,0,0,"4","0","1"
"312",174,23,-9.2,44,0.4,1978,-19.2,0,0,0,"4","0","1"
"313",171,0,-9.5,50,0.6,1953,-18,0,0,0,"4","0","1"
"314",170,1,-9.8,48,0.8,2000,-18.7,0,0,0,"4","0","1"
"315",107,2,-10.6,44,0.8,1903,-20.5,0,0,0,"4","0","1"
"316",80,3,-10.7,48,0.4,1651,-19.6,0,0,0,"4","0","1"
"317",52,4,-11,50,0.8,1718,-19.4,0,0,0,"4","0","1"
"318",62,5,-10.8,48,0.8,1648,-19.6,0,0,0,"4","0","1"
"319",108,6,-11,55,0.8,1541,-18.2,0,0,0,"4","0","1"
"320",279,7,-10.9,57,1.1,1387,-17.7,0,0,0,"4","0","1"
"321",621,8,-10.4,54,1.1,1432,-17.9,0.01,0,0,"4","0","1"
"322",305,9,-9.4,44,0.5,1680,-19.4,0.13,0,0,"4","0","1"
"323",189,10,-7.7,43,0.9,1555,-18.1,0.35,0,0,"4","0","1"
"324",247,11,-6.1,38,1,1587,-18.1,0.52,0,0,"4","0","1"
"325",278,12,-4.9,34,1.3,1768,-18.3,0.6,0,0,"4","0","1"
"326",282,13,-3.8,32,0.9,1827,-18.1,0.52,0,0,"4","0","1"
"327",294,14,-2.7,28,0.7,1857,-18.7,0.65,0,0,"4","0","1"
"328",301,15,-2.5,29,1.1,1667,-18.1,0.48,0,0,"4","0","1"
"329",335,16,-2.4,28,0.9,1878,-18.4,0.35,0,0,"4","0","1"
"330",382,17,-2.9,31,0.6,1723,-17.7,0.09,0,0,"4","0","1"
"331",612,18,-3.5,35,1.1,1414,-16.7,0,0,0,"4","0","1"
"332",410,19,-4.2,40,0.9,1216,-15.8,0,0,0,"4","0","1"
"333",277,20,-4.8,43,1.1,1397,-15.4,0,0,0,"4","0","1"
"334",316,21,-4.8,45,0.8,1351,-14.9,0,0,0,"4","0","1"
"335",309,22,-4.9,44,1.1,1369,-15.3,0,0,0,"4","0","1"
"336",211,23,-5.6,53,1.2,1290,-13.6,0,0,0,"4","0","1"
"337",227,0,-5.7,53,0.6,1262,-13.7,0,0,0,"4","0","1"
"338",241,1,-6.3,57,0.4,1148,-13.4,0,0,0,"4","0","1"
"339",162,2,-6.8,58,0.4,1089,-13.6,0,0,0,"4","0","1"
"340",110,3,-6.9,56,0.5,1111,-14.2,0,0,0,"4","0","1"
"341",69,4,-7.1,59,0.8,1058,-13.7,0,0,0,"4","0","1"
"342",68,5,-7.5,64,0.9,989,-13.1,0,0,0,"4","0","1"
"343",129,6,-7.4,64,0.7,906,-13,0,0,0,"4","0","1"
"344",285,7,-7,63,0.6,865,-12.8,0,0,0,"4","0","1"
"345",658,8,-6.6,64,1.1,791,-12.2,0,0,0,"4","0","1"
"346",330,9,-5.9,60,0.6,691,-12.4,0.09,0,0,"4","0","1"
"347",221,10,-4.6,52,0.8,648,-12.9,0.34,0,0,"4","0","1"
"348",279,11,-2.9,46,1,809,-12.9,0.42,0,0,"4","0","1"
"349",309,12,-2.5,43,0.7,895,-13.3,0.34,0,0,"4","0","1"
"350",325,13,-1.6,40,0.3,868,-13.4,0.32,0,0,"4","0","1"
"351",329,14,-0.7,39,0.8,826,-12.9,0.35,0,0,"4","0","1"
"352",342,15,0.1,35,1.5,946,-13.5,0.42,0,0,"4","0","1"
"353",354,16,0,37,0.6,994,-12.9,0.13,0,0,"4","0","1"
"354",464,17,-0.2,39,0.8,1016,-12.5,0,0,0,"4","0","1"
"355",682,18,0.1,43,0.9,1485,-11,0,0,0,"4","0","1"
